Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
1.639E+05   1.641E-01  7.223E-05 
1.641E+05   1.639E-01  7.212E-05 
1.644E+05   1.637E-01  7.201E-05 
1.646E+05   1.634E-01  7.191E-05 
1.649E+05   1.632E-01  7.180E-05 
1.652E+05   1.630E-01  7.170E-05 
1.654E+05   1.628E-01  7.159E-05 
1.657E+05   1.626E-01  7.149E-05 
1.660E+05   1.624E-01  7.138E-05 
1.662E+05   1.622E-01  7.128E-05 
1.665E+05   1.620E-01  7.117E-05 
1.668E+05   1.617E-01  7.107E-05 
1.670E+05   1.615E-01  7.097E-05 
1.673E+05   1.613E-01  7.087E-05 
1.676E+05   1.611E-01  7.076E-05 
1.678E+05   1.609E-01  7.066E-05 
1.681E+05   1.607E-01  7.056E-05 
1.684E+05   1.605E-01  7.046E-05 
1.686E+05   1.603E-01  7.036E-05 
1.689E+05   1.601E-01  7.026E-05 
1.692E+05   1.599E-01  7.015E-05 
1.694E+05   1.597E-01  7.005E-05 
1.697E+05   1.595E-01  6.995E-05 
1.700E+05   1.593E-01  6.985E-05 
1.702E+05   1.591E-01  6.976E-05 
1.705E+05   1.589E-01  6.966E-05 
1.708E+05   1.587E-01  6.956E-05 
1.710E+05   1.585E-01  6.946E-05 
1.713E+05   1.583E-01  6.936E-05 
1.716E+05   1.581E-01  6.926E-05 
1.718E+05   1.579E-01  6.917E-05 
1.721E+05   1.577E-01  6.907E-05 
1.724E+05   1.575E-01  6.897E-05 
1.726E+05   1.573E-01  6.887E-05 
1.729E+05   1.571E-01  6.878E-05 
1.732E+05   1.569E-01  6.868E-05 
1.734E+05   1.567E-01  6.859E-05 
1.737E+05   1.565E-01  6.849E-05 
1.740E+05   1.563E-01  6.839E-05 
1.742E+05   1.561E-01  6.830E-05 
1.745E+05   1.559E-01  6.820E-05 
1.748E+05   1.557E-01  6.811E-05 
1.750E+05   1.555E-01  6.802E-05 
1.753E+05   1.553E-01  6.792E-05 
1.756E+05   1.551E-01  6.783E-05 
1.758E+05   1.549E-01  6.773E-05 
1.761E+05   1.548E-01  6.764E-05 
1.764E+05   1.546E-01  6.755E-05 
1.766E+05   1.544E-01  6.746E-05 
1.769E+05   1.542E-01  6.736E-05 
1.772E+05   1.540E-01  6.727E-05 
1.774E+05   1.538E-01  6.718E-05 
1.777E+05   1.536E-01  6.709E-05 
1.779E+05   1.534E-01  6.700E-05 
1.782E+05   1.532E-01  6.690E-05 
1.785E+05   1.531E-01  6.681E-05 
1.787E+05   1.529E-01  6.672E-05 
1.790E+05   1.527E-01  6.663E-05 
1.793E+05   1.525E-01  6.654E-05 
1.795E+05   1.523E-01  6.645E-05 
1.798E+05   1.521E-01  6.636E-05 
1.801E+05   1.520E-01  6.627E-05 
1.803E+05   1.518E-01  6.618E-05 
1.806E+05   1.516E-01  6.610E-05 
1.809E+05   1.514E-01  6.601E-05 
1.811E+05   1.512E-01  6.592E-05 
1.814E+05   1.511E-01  6.583E-05 
1.817E+05   1.509E-01  6.574E-05 
1.819E+05   1.507E-01  6.566E-05 
1.822E+05   1.505E-01  6.557E-05 
1.825E+05   1.503E-01  6.548E-05 
1.827E+05   1.502E-01  6.539E-05 
1.830E+05   1.500E-01  6.531E-05 
1.833E+05   1.498E-01  6.522E-05 
1.835E+05   1.496E-01  6.514E-05 
1.838E+05   1.495E-01  6.505E-05 
1.841E+05   1.493E-01  6.496E-05 
1.843E+05   1.491E-01  6.488E-05 
1.846E+05   1.489E-01  6.479E-05 
1.849E+05   1.488E-01  6.471E-05 
1.851E+05   1.486E-01  6.462E-05 
1.854E+05   1.484E-01  6.454E-05 
1.857E+05   1.482E-01  6.445E-05 
1.859E+05   1.481E-01  6.437E-05 
1.862E+05   1.479E-01  6.429E-05 
1.865E+05   1.477E-01  6.420E-05 
1.867E+05   1.475E-01  6.412E-05 
1.870E+05   1.474E-01  6.404E-05 
1.873E+05   1.472E-01  6.395E-05 
1.875E+05   1.470E-01  6.387E-05 
1.878E+05   1.469E-01  6.379E-05 
1.881E+05   1.467E-01  6.371E-05 
1.883E+05   1.465E-01  6.362E-05 
1.886E+05   1.464E-01  6.354E-05 
1.889E+05   1.462E-01  6.346E-05 
1.891E+05   1.460E-01  6.338E-05 
1.894E+05   1.459E-01  6.330E-05 
1.897E+05   1.457E-01  6.322E-05 
1.899E+05   1.455E-01  6.314E-05 
1.902E+05   1.454E-01  6.306E-05 
1.905E+05   1.452E-01  6.298E-05 
1.907E+05   1.450E-01  6.290E-05 
1.910E+05   1.449E-01  6.282E-05 
1.912E+05   1.447E-01  6.274E-05 
1.915E+05   1.445E-01  6.266E-05 
1.918E+05   1.444E-01  6.258E-05 
1.920E+05   1.442E-01  6.250E-05 
1.923E+05   1.441E-01  6.242E-05 
1.926E+05   1.439E-01  6.234E-05 
1.928E+05   1.437E-01  6.226E-05 
1.931E+05   1.436E-01  6.218E-05 
1.934E+05   1.434E-01  6.211E-05 
1.936E+05   1.433E-01  6.203E-05 
1.939E+05   1.431E-01  6.195E-05 
1.942E+05   1.429E-01  6.187E-05 
1.944E+05   1.428E-01  6.180E-05 
1.947E+05   1.426E-01  6.172E-05 
1.950E+05   1.425E-01  6.164E-05 
1.952E+05   1.423E-01  6.157E-05 
1.955E+05   1.421E-01  6.149E-05 
1.958E+05   1.420E-01  6.141E-05 
1.960E+05   1.418E-01  6.134E-05 
1.963E+05   1.417E-01  6.126E-05 
1.966E+05   1.415E-01  6.119E-05 
1.968E+05   1.414E-01  6.111E-05 
1.971E+05   1.412E-01  6.104E-05 
1.974E+05   1.411E-01  6.096E-05 
1.976E+05   1.409E-01  6.089E-05 
1.979E+05   1.408E-01  6.081E-05 
1.982E+05   1.406E-01  6.074E-05 
1.984E+05   1.404E-01  6.066E-05 
1.987E+05   1.403E-01  6.059E-05 
1.990E+05   1.401E-01  6.051E-05 
1.992E+05   1.400E-01  6.044E-05 
1.995E+05   1.398E-01  6.037E-05 
1.998E+05   1.397E-01  6.029E-05 
2.000E+05   1.395E-01  6.022E-05 
2.003E+05   1.394E-01  6.015E-05 
2.006E+05   1.392E-01  6.008E-05 
2.008E+05   1.391E-01  6.000E-05 
2.011E+05   1.389E-01  5.993E-05 
2.014E+05   1.388E-01  5.986E-05 
2.016E+05   1.386E-01  5.979E-05 
2.019E+05   1.385E-01  5.971E-05 
2.022E+05   1.383E-01  5.964E-05 
2.024E+05   1.382E-01  5.957E-05 
2.027E+05   1.380E-01  5.950E-05 
2.030E+05   1.379E-01  5.943E-05 
2.032E+05   1.378E-01  5.936E-05 
2.035E+05   1.376E-01  5.929E-05 
2.038E+05   1.375E-01  5.922E-05 
2.040E+05   1.373E-01  5.915E-05 
2.043E+05   1.372E-01  5.908E-05 
2.045E+05   1.370E-01  5.901E-05 
2.048E+05   1.369E-01  5.894E-05 
2.051E+05   1.367E-01  5.887E-05 
2.053E+05   1.366E-01  5.880E-05 
2.056E+05   1.365E-01  5.873E-05 
2.059E+05   1.363E-01  5.866E-05 
2.061E+05   1.362E-01  5.859E-05 
2.064E+05   1.360E-01  5.852E-05 
2.067E+05   1.359E-01  5.845E-05 
2.069E+05   1.357E-01  5.838E-05 
2.072E+05   1.356E-01  5.831E-05 
2.075E+05   1.355E-01  5.825E-05 
2.077E+05   1.353E-01  5.818E-05 
2.080E+05   1.352E-01  5.811E-05 
2.083E+05   1.350E-01  5.804E-05 
2.085E+05   1.349E-01  5.797E-05 
2.088E+05   1.348E-01  5.791E-05 
2.091E+05   1.346E-01  5.784E-05 
2.093E+05   1.345E-01  5.777E-05 
2.096E+05   1.343E-01  5.771E-05 
2.099E+05   1.342E-01  5.764E-05 
